DRR090493	DRR090494	DRR090495	DRR090496	DRR090497	DRR090498	DRR090499	DRR090500	DRR090501	DRR090502	DRR090503	DRR090504	DRR090505	DRR090506	DRR090507	DRR090508	DRR090509	DRR090510	DRR090511	DRR090512
ASV.176	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0	0	0	0	0
ASV.180	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0
ASV.185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236
ASV.186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236
ASV.190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	81	0
ASV.191	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0
ASV.192	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0
ASV.194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0
ASV.195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218
ASV.196	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0
ASV.200	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.203	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0
ASV.204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0
ASV.208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196
ASV.214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0
ASV.215	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0
ASV.217	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0
ASV.218	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0
ASV.220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0
ASV.228	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0
ASV.234	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.236	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0
ASV.238	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0
ASV.244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156
ASV.246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0
ASV.250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0
ASV.252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0
ASV.253	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0
ASV.254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0
ASV.255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0
ASV.256	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0
ASV.259	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0
ASV.262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130
ASV.263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0
ASV.269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0
ASV.279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0
ASV.281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0
ASV.284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0
ASV.292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0
ASV.293	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0
ASV.297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0
ASV.298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0
ASV.303	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97
ASV.305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97
ASV.306	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0
ASV.307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0
ASV.311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0
ASV.317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87
ASV.319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0
ASV.324	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0
ASV.327	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0
ASV.328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
ASV.330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0
ASV.331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76
ASV.332	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0
ASV.340	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0
ASV.344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0
ASV.347	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.352	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0
ASV.353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0
ASV.354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53
ASV.356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0
ASV.358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
ASV.360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0
ASV.363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44
ASV.370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35
ASV.373	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.374	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0
ASV.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
ASV.380	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0
ASV.383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0
ASV.384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0
ASV.388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
ASV.391	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
ASV.392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
ASV.394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0
ASV.395	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
ASV.396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
ASV.397	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
ASV.408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ASV.409	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
